id,albufeira,lagua,bacia,distrito,concelho,freguesia,adren_bara,adrenp_bar,altmax_bac,altmed_bac,altmin_bac,alt_bac,decmed_bac,compax_lag,decmed_lag,ppmed_a_ba,pp20_bac,pp50_bac,pp90_bac,escma_bac,esc20_bac,esc50_bac,esc90_bac,m,p,longdd,latdd,ano_ifunc,obra,projecto,tipo_barra,alt_barrag,alt_terren,dcoroament,ccoroament,lcoroament,npa,nmc,nme,cc_nmc,cc_npa,supinundnp,tresid,coeficreg,poa,rhidro_cod,escadaspei,aespanha,observacoe
159,Crato,RIBEIRA DA RAIA OU DE SEDA,TEJO,PORTALEGRE,CRATO,CRATO E MÁRTIRES,216.1,216.1,733,349,219,0,5.8,23.9,0.8,726,0,0,0,0,0,0,0,249624,254910,-7.558142427,39.26071947,0,,,Terra,56,0,0,0,0,248,0,0,0,0,0,0,0,,,,N,
229,Crato (Nascentes),RIBEIRA DA SEPELHEIRA,TEJO,PORTALEGRE,CRATO,MONTE DA PEDRA,1.06,1.07,312,293,272,0,3.2,1.4,1.5,777,0,0,0,0,0,0,0,237683,262136,-7.696085932,39.326403652,1965,,,Terra,7,0,235,0,0,283.5,283.9,0,0,0,0,0,0,,18K/02A,,N,
76,Crestuma-Lever,RIO DOURO,DOURO,PORTO,GONDOMAR,FOZ DO SOUSA,96932.81,500.49,1095,280,0,0,20.2,52.5,1.1,1596,0,0,0,0,0,0,0,170273,456035,-8.486824008,41.072885802,1985,EDP - Gestão da Produção de Energia S.A. Direcção da Produção Hidraúlica,"ELECTRICIDADE DE PORTUGAL, S.A.",Gravidade de betão,65,0,470,25.5,8.2,13.2,21.5,11.5,4,12.3,1298,0,0,,07G/01A,S,N,
160,Daivões (prevista),RIO TÂMEGA,DOURO,BRAGA,CABECEIRAS DE BASTO,CAVEZ,1973.4,112.13,1187,548,178,0,26.4,23,2.6,1562,0,0,0,0,0,0,0,222503,506269,-7.863508342,41.525424798,0,,,Gravidade de betão,0,186,0,0,0,231,233,226,0,0,0,0,0,,,,N,
161,Daroeira,RIBEIRA DA MESSEJANA OU DE ALAMO,SADO,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,30.13,30.14,252,143,75,0,4.6,15.7,1,561,0,0,0,0,0,0,0,183188,104352,-8.324252836,37.905711294,1953,SOCIEDADE AGRÍCOLA DA QUINTA DA FREIRIA,,Terra,0,16,483,106,7,103,0,0,0,3,105,0,0,,,,N,
40,Divor,RIO DIVÔR,TEJO,ÉVORA,ARRAIOLOS,IGREJINHA,42.38,42.39,368,296,246,0,3.9,10.5,0.8,649,0,0,0,0,0,0,0,218030,192578,-7.925834136,38.700487512,1965,ASSOCIAÇÃO DE BENEFICIÁRIOS DO DIVÔR,DIRECÇÃO-GERAL DOS SERVIÇOS HIDRÁULICOS,Terra,23,21,636,263.6,7,261.4,262.2,249.5,1.4,2.2,265,0,0,,21J/01A,N,N,
162,Drizes,RIO VOUGA,VOUGA/RIBEIRAS COSTEIRAS,VISEU,SÃO PEDRO DO SUL,VÁRZEA,631.64,365.87,1037,489,155,0,16.5,30.8,1.6,1562,0,0,0,0,0,0,0,205172,419227,-8.071878641,40.741971179,0,,,Blocos Betão,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,N,
163,Enxoé,RIBEIRA DO ENXOÉ,GUADIANA,BEJA,SERPA,SERPA (SALVADOR),61.15,61.16,349,225,155,0,3.7,15.6,0.7,555,0,0,0,0,0,0,0,258667,114336,-7.465215446,37.993922415,1998,ASSOCIAÇÃO DE MUNICÍPIOS DO ENXOÉ,HIDROTÉCNICA-PORTUGUESA,Terra zonada,23,20.5,415,179,4,175,176.5,165.5,2.5,4,205,0,0,,26M/01A,,N,
164,Ermida,RIO AROUCE OU RIBEIRA DE SÃO JOÃO OU DA SARDEIRA,MONDEGO,COIMBRA,LOUSÃ,LOUSÃ,14.98,14.99,1199,751,308,0,38.2,5.5,15,1561,0,0,0,0,0,0,0,192024,347556,-8.226639641,40.096521293,0,,,,0,353,0,0,0,0,0,0,0,0,0,0,0,,13H/01AE,,N,O aproveitamento hidroeléctrico de Ermida é constituido por dois açudes nas Rib.ª de Candal e Sardeira. Ermida é  nome de central hidroeléctrica.
165,Ermidas,RIO SADO OU RIBEIRA GRANDE OU DE OURIQUE,SADO,SETÚBAL,SANTIAGO DO CACÉM,ERMIDAS-SADO,25.32,25.33,108,84,50,0,1.6,17.3,0.3,562,0,0,0,0,0,0,0,180114,114190,-8.359478318,37.994281589,0,,,,0,42,0,0,0,0,0,0,0,0,0,0,0,,,,N,
